year,inc,unc
1984,12.81,0.88
1985,12.21,0.98
1986,12.89,0.72
1987,11.43,0.75
1988,10.68,0.47
1989,11.2,0.59
1990,8.65,0.51
1991,14.07,0.59
1992,2.38,0.5
1993,3.86,0.52
1994,7.26,0.49
1995,3.83,0.5
1996,2.48,0.37
1997,6.36,0.74
1998,12.12,0.74
1999,2.38,0.63
2000,-1.45,0.62
2001,-0.72,0.48
2002,3.24,0.55
2003,4.84,0.56
2004,-4.84,0.36
2005,0.32,0.48
2006,1.9,0.57
2007,7.85,0.61
2008,6.51,0.43
2009,4.71,0.49
2010,5.21,0.67
2011,4.92,0.64
2012,4.98,0.56
2013,5.64,0.6
2014,12.78,0.5
2015,10.01,0.66
2016,7.03,0.6
2017,6.88,0.72
2018,8.75,0.52
2019,9.67,0.6
