year,oh
1980,"	-6.57053"
1981,"	-4.68966"
1982,"	-8.42633"
1983,"	-8.17555"
1984,"	-6.31975"
1985,"	-5.66771"
1986,"	-6.39498"
1987,"	-6.67085"
1988,"	-4.6395"
1989,"	-5.54232"
1990,"	-5.5674"
1991,"	-7.49843"
1992,"	-7.4232"
1993,"	-4.08777"
1994,"	-4.31348"
1995,"	-2.68339"
1996,"	-1.8558"
1997,"	-4.71473"
1998,"	-4.51411"
1999,"	-1.05329"
2000,"	-0.652038"
2001,"	0.652038"
2002,"	-1.25392"
2003,"	-0.802508"
2004,"	0.526646"
2005,"	1.25392"
2006,"	2.75862"
2007,"	3.1348"
2008,"	4.58934"
2009,"	3.10972"
2010,"	2.68339"
2011,"	4.46395"
2012,"	2.7837"
2013,"	3.10972"
2015,"	-1.47962"
2016,"	1.45455"
2017,"	4.33856"
