year,oh
1983,1512986.9
1984,1512611.2
1985,1512235.5
1986,1511859.8
1987,1511484.1
1988,1511108.4
1989,1510732.7
1990,1510498.433
1991,1511689.543
1992,1532984.16
1993,1540179.764
1994,1518925.807
1995,1526955.938
1996,1518761.808
1997,1513321.035
1998,1535549.682
1999,1525109.488
2000,1532150.252
2001,1535431.84
2002,1531891.536
2003,1540941.648
2004,1552828.249
2005,1566064.374
2006,1571028.099
2007,1584134.517
2008,1585388.778
2009,1570966.237
2010,1576688.039
2011,1590376.045
2012,1572296.247
2013,1568404.33
2014,1563162.186
2015,1554363.457
2016,1578050.566
2017,1571284.435
2018,1565752.732
2019,1560221.029
