em,sector,units,X1981,X1982,X1983,X1984,X1985,X1986,X1987,X1988,X1989,X1990,X1991,X1992,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017,X2018,X2019
CH4,1A1a_Electricity-autoproducer,ktCH4,9.731461897,10.1646066,10.72906319,13.68555905,13.82128577,14.54184479,14.81311425,15.72536871,16.16720392,18.17802229,19.12371094,20.77818864,20.89208163,22.40337399,24.41198441,27.46221497,28.82435344,31.10157646,33.67982405,33.72282395,34.16711163,36.08210566,38.78925247,42.7014048,51.36535121,58.08014588,65.04300066,73.58090999,82.66577701,99.56314829,104.1012842,110.3392199,120.9374572,134.7756076,142.2394138,159.6413491,167.224666,174.2817786,178.3180147
CH4,1A1a_Electricity-public,ktCH4,140.4085131,140.174085,137.8701846,145.0639888,144.5532474,143.5472951,152.6362603,162.4867868,179.464461,182.4112751,185.9504108,197.3820423,205.3068211,226.4456233,242.0141778,256.6300513,269.7745916,283.7809801,306.608113,329.8034893,343.4572772,370.2585816,374.6572322,399.8997268,418.0814635,438.9895808,475.5633257,490.9390149,493.5385803,537.955001,538.2471764,557.177021,555.054012,559.5524146,575.365087,588.139858,586.2084212,592.6011938,594.0080366
CH4,1A1a_Heat-production,ktCH4,94.55463604,100.3917822,104.8772476,109.0220652,128.2596527,132.6377081,142.2430847,155.7880913,177.3856542,178.2452272,182.3481729,199.4314635,192.686941,174.5865297,185.0657899,193.7485993,184.2004962,182.2456776,182.9429619,181.5247179,184.9964398,196.6275202,215.0277128,227.7806059,235.3105453,238.5642035,239.7088956,244.8187871,241.0803414,272.5184398,286.4282607,307.3764794,316.0208916,307.4702086,306.33704,305.4179228,300.5972481,315.2933529,319.9065098
CH4,1A1bc_Other-transformation,ktCH4,20.92923359,23.07339486,25.00740822,26.93544116,30.06502163,30.16817382,32.38895986,32.92418069,34.17281908,31.20653327,32.17792729,32.42752055,33.0356566,34.40025336,35.04371196,35.93944169,39.21300008,39.10823894,38.05943969,37.47473212,38.9175687,40.57022078,44.35215734,45.16268533,47.60887532,49.99613571,53.79133318,58.11827035,56.48868243,59.50611712,56.94494084,57.79368136,61.64671093,61.98385786,62.36883485,62.86903256,63.39897996,63.97672231,64.48324935
CH4,1A2a_Ind-Comb-Iron-steel,ktCH4,63.3052359,61.98926176,63.37265273,69.22333666,66.15407549,68.87682603,71.57541593,75.86483897,76.87007173,78.36658553,81.136607,79.16701963,85.45147837,85.85302932,103.4643385,96.62055208,99.72120791,95.22704893,88.00337377,100.6335863,98.5460814,103.7575771,113.9145758,127.2357601,141.4702658,146.5829452,164.2182516,170.9477385,173.8240035,189.0793325,211.6552473,212.4589543,227.6284954,235.1160267,231.7166349,224.6672241,228.1816503,240.1956638,236.6236595
CH4,1A2b_Ind-Comb-Non-ferrous-metals,ktCH4,5.124404852,5.197724564,5.387570851,3.394615587,5.274781867,5.290877493,5.555157247,6.129383342,6.159827767,6.471510982,6.890416372,7.185191453,7.738408312,7.944627471,9.570378216,9.532806504,9.179850498,9.796103194,10.34699614,11.34014668,10.31728096,11.22541478,11.05669166,13.54466079,14.28919674,15.45499297,16.5778986,17.17523923,16.24171097,17.4368407,17.9970405,18.91832902,21.64595617,22.80661103,23.34855037,23.68996274,23.86496144,24.90205588,25.07120591
CH4,1A2c_Ind-Comb-Chemicals,ktCH4,36.69721597,36.83131103,38.95076515,41.27483435,32.45160551,32.29458654,34.09198048,35.66313432,37.71699117,45.43570071,47.82901546,49.84883849,54.60607829,58.11323302,66.97982293,67.5083662,65.10252597,64.15025341,61.1824966,68.36029107,64.4732165,65.45826248,68.1348318,76.97278006,83.2338123,95.04627054,98.82421543,89.11548567,85.02983899,94.50065954,110.1266706,109.03319,115.8210252,115.3534528,114.0506501,111.8298341,117.5521089,121.1803689,121.4012114
CH4,1A2d_Ind-Comb-Pulp-paper,ktCH4,10.00765637,11.24225157,11.86545902,13.01266006,14.34627974,14.9787096,15.61816238,16.45675847,16.37804149,16.93095663,18.05829156,19.69864205,21.32654969,22.59234015,27.36528839,26.21370223,25.75650265,26.29298014,28.33231464,30.10762513,27.67777218,28.79559625,30.84253718,32.18814552,33.80162188,33.27434263,34.26820611,34.96035892,34.38119185,35.13527433,34.46561083,35.22386327,37.01781984,36.43341348,38.90386871,40.06835877,42.93293443,43.86473011,44.04294331
CH4,1A2e_Ind-Comb-Food-tobacco,ktCH4,23.31733977,24.79073094,26.14639402,26.84802678,26.64282473,27.2937737,29.75924895,28.37416069,27.93364513,28.99905849,30.016742,32.98422788,35.01401414,37.67972511,43.15282429,42.30224342,41.48076968,43.16238453,44.47941979,41.55153688,41.85404023,44.08961331,46.51748509,52.29914771,52.00303905,53.27056237,54.75069097,54.28029278,51.24617551,53.55856437,53.5604535,55.39770745,56.83790442,55.14409916,57.7379839,60.6493301,62.71479154,63.88289156,63.95886962
CH4,1A2f_Ind-Comb-Non-metalic-minerals,ktCH4,31.60454386,33.76274204,34.35030104,36.2291311,42.69234712,44.88498361,46.55912361,48.19850413,49.16977322,50.55316485,53.67246219,55.4952618,61.76026502,66.65012673,78.61406861,78.41329075,79.15952091,83.12113229,79.50509292,81.14174266,82.25993004,79.00769864,90.06635665,104.5195691,112.4648694,108.4884248,112.3855575,113.8066551,106.0527457,109.3644116,120.6135464,120.7139791,125.0171755,130.6481345,128.5104188,121.8509968,126.1871686,138.2306725,143.6512558
